"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
33854476,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","PUSAT AKREDITASI KEARSIPAN",13,20,20,18,0,15,0,0,115.38,83.33,65,100,0,0
33854539,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","SEKRETARIAT UTAMA",66,175,174,160,0,115,0,0,174.24,71.88,37.71,99.43,0,0
33864556,"INTERNAL","ARSIP NASIONAL REPUBLIK INDONESIA (ANRI)","LAIN - LAIN",0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0
NA,"INTERNAL","BADAN AMIL ZAKAT NASIONAL","TOTAL",119,157,136,132,0,74,0,0,62.18,56.06,75.8,86.62,0,0
33849842,"INTERNAL","BADAN AMIL ZAKAT NASIONAL","DEPUTI IV (PENGENDALIAN DAN EVALUASI)",19,6,5,5,0,5,0,0,26.32,100,316.67,83.33,0,0
33849868,"INTERNAL","BADAN AMIL ZAKAT NASIONAL","SEKRETARIAT UTAMA",34,56,48,47,0,18,0,0,52.94,38.3,60.71,85.71,0,0
33850240,"INTERNAL","BADAN AMIL ZAKAT NASIONAL","DEPUTI III (PERENCANAAN, PENGEMBANGAN DAN TEKNOLOGI INFORMASI)",19,24,20,20,0,10,0,0,52.63,50,79.17,83.33,0,0
33864490,"INTERNAL","BADAN AMIL ZAKAT NASIONAL","DEPUTI II (PENDISTRIBUSIAN DAN PENDAYAGUNAAN)",19,25,22,21,0,16,0,0,84.21,76.19,76,88,0,0
33864493,"INTERNAL","BADAN AMIL ZAKAT NASIONAL","DEPUTI I (PENGUMPULAN)",28,46,41,39,0,25,0,0,89.29,64.1,60.87,89.13,0,0
33865201,"INTERNAL","BADAN AMIL ZAKAT NASIONAL","LAIN - LAIN",0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0
NA,"INTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","TOTAL",285,663,642,600,0,301,0,0,105.61,50.17,42.99,96.83,0,0
33850562,"INTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","SEKRETARIAT UTAMA",106,257,247,228,0,111,0,0,104.72,48.68,41.25,96.11,0,0
33854551,"INTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","DEPUTI BIDANG INFORMASI GEOSPASIAL DASAR",91,222,218,206,0,104,0,0,114.29,50.49,40.99,98.2,0,0
33854578,"INTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","DEPUTI BIDANG INFORMASI GEOSPASIAL TEMATIK",40,97,94,87,0,44,0,0,110,50.57,41.24,96.91,0,0
33854583,"INTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","DEPUTI BIDANG INFRASTRUKTUR INFORMASI GEOSPASIAL",35,86,83,79,0,42,0,0,120,53.16,40.7,96.51,0,0
33854600,"INTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","PIMPINAN TERTINGGI",13,1,0,0,0,0,0,0,0,0,1300,0,0,0
33864557,"INTERNAL","BADAN INFORMASI GEOSPASIAL (BIG)","LAIN - LAIN",0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0
NA,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","TOTAL",30,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842674,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","DEPUTI BIDANG ANALISIS DAN PRODUKSI INTELIJEN",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842675,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","DEPUTI BIDANG INTELIJEN DALAM NEGERI",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842676,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","DEPUTI BIDANG INTELIJEN EKONOMI",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33852496,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","STAF AHLI",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33854625,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","BADAN INTELIJEN NEGARA (BIN)",1,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33854687,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","SEKRETARIAT UTAMA",1,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33854688,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","DEPUTI BIDANG INTELIJEN LUAR NEGERI",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33854690,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","DEPUTI BIDANG INTELIJEN PENGAMANAN APARATUR",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33854691,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","DEPUTI BIDANG INTELIJEN SIBER",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33854693,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","WAKIL PIMPINAN",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33854694,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","DEPUTI BIDANG INTELIJEN TEKNOLOGI",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33854699,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","DEPUTI BIDANG KOMUNIKASI DAN INFORMASI",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33854703,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","DEPUTI BIDANG KONTRA INTELIJEN",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33854704,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","DEPUTI BIDANG TEKNOLOGI",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33854706,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","INSPEKTORAT UTAMA",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33854708,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","PIMPINAN TERTINGGI",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33864558,"INTERNAL","BADAN INTELIJEN NEGARA (BIN)","LAIN - LAIN",0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0
NA,"INTERNAL","BADAN KARANTINA INDONESIA","TOTAL",30,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33864459,"INTERNAL","BADAN KARANTINA INDONESIA","DEPUTI BIDANG KARANTINA HEWAN",5,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33864460,"INTERNAL","BADAN KARANTINA INDONESIA","DEPUTI BIDANG KARANTINA TUMBUHAN",4,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33864467,"INTERNAL","BADAN KARANTINA INDONESIA","INSPEKTORAT",5,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33864468,"INTERNAL","BADAN KARANTINA INDONESIA","PUSAT DATA DAB SISTEM INFORMASI KARANTINA HEWAN, IKAN DAN TUMBUHAN",4,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33864469,"INTERNAL","BADAN KARANTINA INDONESIA","PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA KARANTINA HEWAN, IKAN DAN TUMBUHAN",4,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33864470,"INTERNAL","BADAN KARANTINA INDONESIA","DEPUTI BIDANG KARANTINA IKAN",4,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33864476,"INTERNAL","BADAN KARANTINA INDONESIA","SEKRETARIAT UTAMA",4,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33865194,"INTERNAL","BADAN KARANTINA INDONESIA","LAIN - LAIN",0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0
NA,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","TOTAL",386,1670,898,869,21,330,0,0,85.49,37.08,23.11,53.77,0,0
33842669,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","PIMPINAN TERTINGGI",4,1,0,0,0,0,0,0,0,0,400,0,0,0
33864549,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","RHIB 87-04 BALI",4,4,2,1,0,1,0,0,25,100,100,50,0,0
33843076,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","SEKRETARIAT UTAMA",79,546,286,253,6,101,0,0,127.85,39,14.47,52.38,0,0
33843838,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","KEDEPUTIAN BIDANG KEBIJAKAN DAN STRATEGI",8,53,32,29,0,19,0,0,237.5,65.52,15.09,60.38,0,0
33843906,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","UNIT PENINDAKAN HUKUM",4,0,0,7,0,5,0,0,125,71.43,Inf,NA,0,0
33846994,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","PANGKALAN ARMADA KAMLA BATAM",5,23,11,10,0,3,0,0,60,30,21.74,47.83,0,0
33846995,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","RHIB 87-06 PANGKALAN AMBON",5,3,3,2,0,1,0,0,20,50,166.67,100,0,0
33847011,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","SPKKL MERAUKE",4,14,3,3,0,2,0,0,50,66.67,28.57,21.43,0,0
33847012,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","SPKKL NATUNA",4,9,7,7,0,1,0,0,25,14.29,44.44,77.78,0,0
33847013,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","SPKKL TARAKAN",5,15,6,6,0,3,0,0,60,50,33.33,40,0,0
33849891,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","KN ULAR LAUT 405",5,24,19,16,2,1,0,0,20,5.56,20.83,79.17,0,0
33849894,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","CATAMARAN 502 KUPANG",5,4,4,3,0,3,0,0,60,100,125,100,0,0
33849895,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","HSC 32-03 TENGAH",5,6,4,4,0,3,0,0,60,75,83.33,66.67,0,0
33849896,"INTERNAL","BADAN KEAMANAN LAUT REPUBLIK INDONESIA","KN KUDA LAUT 403",5,23,18,16,2,12,0,0,240,66.67,21.74,78.26,0,0
