"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
NA,"INTERNAL","PEMERINTAH KOTA BEKASI","TOTAL",467,6676,2009,1895,19,571,0,0,122.27,29.83,7,30.09,0,0
NA,"INTERNAL","PEMERINTAH KOTA BENGKULU","TOTAL",412,2299,1519,1524,5,518,0,0,125.73,33.88,17.92,66.07,0,0
NA,"INTERNAL","PEMERINTAH KOTA BIMA","TOTAL",400,1968,1269,1147,3,307,0,0,76.75,26.7,20.33,64.48,0,0
NA,"INTERNAL","PEMERINTAH KOTA BINJAI","TOTAL",442,3726,2749,2714,1,758,0,0,171.49,27.92,11.86,73.78,0,0
NA,"INTERNAL","PEMERINTAH KOTA BITUNG","TOTAL",332,1093,921,943,3,116,0,0,34.94,12.26,30.38,84.26,0,0
NA,"INTERNAL","PEMERINTAH KOTA BLITAR","TOTAL",320,886,748,695,3,334,0,0,104.38,47.85,36.12,84.42,0,0
NA,"INTERNAL","PEMERINTAH KOTA BOGOR","TOTAL",392,1798,1561,1418,4,324,0,0,82.65,22.78,21.8,86.82,0,0
NA,"INTERNAL","PEMERINTAH KOTA BONTANG","TOTAL",440,3583,1532,1729,47,1204,0,0,273.64,67.79,12.28,42.76,0,0
NA,"INTERNAL","PEMERINTAH KOTA BUKITTINGGI","TOTAL",393,1827,1525,1353,8,466,0,0,118.58,34.24,21.51,83.47,0,0
NA,"INTERNAL","PEMERINTAH KOTA CILEGON","TOTAL",449,4299,1402,1259,27,495,0,0,110.24,38.49,10.44,32.61,0,0
NA,"INTERNAL","PEMERINTAH KOTA CIMAHI","TOTAL",405,2102,1636,1319,9,417,0,0,102.96,31.4,19.27,77.83,0,0
NA,"INTERNAL","PEMERINTAH KOTA CIREBON","TOTAL",375,1492,1368,1314,9,293,0,0,78.13,22.15,25.13,91.69,0,0
NA,"INTERNAL","PEMERINTAH KOTA DENPASAR","TOTAL",465,6464,1908,2879,7,1924,0,0,413.76,66.67,7.19,29.52,0,0
NA,"INTERNAL","PEMERINTAH KOTA DEPOK","TOTAL",459,5421,2871,2807,3,368,0,0,80.17,13.1,8.47,52.96,0,0
NA,"INTERNAL","PEMERINTAH KOTA DUMAI","TOTAL",374,1474,943,825,6,503,0,0,134.49,60.53,25.37,63.98,0,0
NA,"INTERNAL","PEMERINTAH KOTA GORONTALO","TOTAL",447,4108,1495,1621,9,358,0,0,80.09,21.96,10.88,36.39,0,0
NA,"INTERNAL","PEMERINTAH KOTA GUNUNG SITOLI","TOTAL",430,3035,985,834,7,607,0,0,141.16,72.18,14.17,32.45,0,0
NA,"INTERNAL","PEMERINTAH KOTA JAMBI","TOTAL",370,10812,2424,2251,9,564,0,0,152.43,24.96,3.42,22.42,0,0
NA,"INTERNAL","PEMERINTAH KOTA JAYAPURA","TOTAL",408,2078,1687,1392,11,359,0,0,87.99,25.59,19.63,81.18,0,0
NA,"INTERNAL","PEMERINTAH KOTA KEDIRI","TOTAL",439,3493,1628,1663,0,386,0,0,87.93,23.21,12.57,46.61,0,0
NA,"INTERNAL","PEMERINTAH KOTA KENDARI","TOTAL",437,3426,3173,2697,2,1438,0,0,329.06,53.28,12.76,92.62,0,0
